0,1
The Walters,"['Wabie', 'Summer Salt', 'VACATIONS', 'mellow fellow', 'Matt Maltese']"
McFly,"['McBusted', 'Busted', 'Jonas Brothers', 'Scouting for Girls', 'The Vamps']"
Vundabar,"['The Frights', 'Sir Chloe', 'The Buttertones', 'Surf Curse', 'Beach Goons']"
El miedo,[]
Dustin Tebbutt,"['Harrison Storm', 'Hollow Coves', 'Old Sea Brigade', 'Benjamin Francis Leftwich', 'Ocie Elliott']"
Quique González,"['Iván Ferreiro', 'Elefantes', 'Leiva', 'Ismael Serrano', 'Nacho Vegas']"
Serrat,[]
Antonio Flores,"['La Guardia', 'Los Secretos', 'Loquillo', 'Seguridad Social', 'Los Ronaldos']"
RÜFÜS DU SOL,"['Elderbrook', 'Lane 8', 'Jan Blomqvist', 'Sultan + Shepard', 'Ben Böhmer']"
B.P.M. System,"['Lady Gee', 'Kike Boy', 'Kryss', 'New Limit', 'Interfront']"
Paradis,"['Bleu Toucan', 'Lewis OfMan', ""L'Impératrice"", 'Vendredi sur Mer', 'Polo & Pan']"
Biagio Antonacci,"['Jovanotti', ""Gigi D'Alessio"", 'Tiromancino', 'Negramaro', 'Vasco Rossi']"
Carmen Boza,"['Road Ramos', 'Andrés Suárez', 'Patricia Lázaro', 'amatria', 'Mucho']"
2001:Canarias,[]
The Head and the Heart,"['The Lumineers', 'Caamp', 'Blind Pilot', 'Mt. Joy', 'The Avett Brothers']"
Ben l'Oncle Soul,"['Kimberose', 'Ayo', 'Selah Sue', 'Otis Kane', 'Charles Pasi']"
Damien Rice,"['Glen Hansard', 'Lisa Hannigan', 'Ray LaMontagne', 'The Swell Season', 'Glen Hansard & Markéta Irglová']"
FAUVE,"['Ben Mazué', 'Therapie TAXI', 'Saez', 'Orelsan', 'Louise Attaque']"
Antonio Vega,"['Los Secretos', 'Nacha Pop', 'Antonio Flores', 'Iván Ferreiro', 'Pedro Guerra']"
Kamembert,"['Brighton 64', 'kamenbert', 'Los Negativos', 'Los Elegantes', 'Kristallin & Michele Bernard']"
Husbands,"['Beach Vacation', 'French Cassettes', 'sjowgren', 'Hibou', 'Stray Fossa']"
Aaron,"['Yodelice', 'Cocoon', 'Lilly Wood & The Prick', 'Cascadeur', 'Cats on Trees']"
Foster the People,"['Two Door Cinema Club', 'Grouplove', 'Saint Motel', 'Sir Sly', 'Capital Cities']"
Surf Curse,"['Current Joys', 'Beach Goons', 'The Frights', 'Vundabar', 'Mind’s Eye']"
Jaime Asúa,"['Antonio García de Diego', 'Banda Joaquin Sabina', 'Mara Barros', 'Pancho Varona', 'Víctor Manuel']"
Clea Vincent,[]
Blow,"['Tender', 'Elephanz', 'Kid Francescoli', 'Cannons', 'Haevn']"
Phoenix,"['Two Door Cinema Club', 'Vampire Weekend', 'Passion Pit', 'Foster the People', 'Ra Ra Riot']"
Dinero,"['Mucho', 'Havalina', 'Correos', 'The Right Ons', 'Nothink']"
Frazey Ford,"['The Be Good Tanyas', 'Jon and Roy', 'Anna Ash', 'Alela Diane', 'This Is the Kit']"
You'll Never Get to Heaven,"['Forma Norte', 'argo nuff', ""Alison's Halo"", 'An April March', ""Isabel's Dream""]"
Keziah Jones,"['Ben Harper', 'Lee Fields  The Expressions', 'Roseaux', 'Ayo', 'Sinclair']"
Jerry Daley,"['Sensity World', 'New Limit', 'Piropo', 'Kryss', 'ACTV']"
Kid Francescoli,"['French 79', 'Isaac Delusion', 'Thylacine', 'Kazy Lambist', 'Jabberwocky']"
Tom Rosenthal,"['Winter Aid', 'Patrick Watson', 'Novo Amor', 'Tom Odell', 'Roo Panes']"
Tom Misch,"['Tom Misch & Yussef Dayes', 'Jordan Rakei', 'Loyle Carner', 'Oscar Jerome', 'Barney Artist']"
Memphis Bleek,"['Freeway', 'Beanie Sigel', 'Jadakiss', ""Cam'ron"", 'Juelz Santana']"
Mazzy Star,"['Hope Sandoval & The Warm Inventions', 'The Sundays', 'Mojave 3', 'Cocteau Twins', 'Pale Saints']"
Freeway,"['Memphis Bleek', 'Beanie Sigel', ""Cam'ron"", 'Jadakiss', 'Juelz Santana']"
Gregory Alan Isakov,"['Caamp', 'John Vincent III', 'The Paper Kites', 'Lord Huron', 'Ocie Elliott']"
The Neighbourhood,"['Jesse®', 'Beach Weather', 'Arctic Monkeys', 'sombr', 'Jaymes Young']"
La Femme,"['Juniore', 'Grand Blanc', 'Flavien Berger', 'Requin Chagrin', 'The Limiñanas']"
Vicentico,"['Los Auténticos Decadentes', 'Los Fabulosos Cadillacs', 'Andrés Calamaro', 'Los Rodríguez', 'Los Tipitos']"
Frank Ocean,"['Daniel Caesar', 'Steve Lacy', 'Brent Faiyaz', 'Sonder', 'Tyler, The Creator']"
