id,artist_name,track_name,genre,year
2LAKLX6o1JzQJHUp8NIhLA,Renee Olstead,Sleepwalk,pop,2013
0jT7DDqYbpOik6iun6ydUL,Carlos Vives,Como Le Gusta a Tu Cuerpo (feat. Michel Teló),pop,2013
0jT7DDqYbpOik6iun6ydUL,Michel Teló,Como Le Gusta a Tu Cuerpo (feat. Michel Teló),pop,2013
4fJrqBOXrJ9QwaqJ9UsptN,Luiz Bonfá,Sambalamento,pop,2013
1UlnDZ5ubsSX3xrXu063dZ,BTS,Intro: 2 Cool 4 Skool,pop,2013
1UlnDZ5ubsSX3xrXu063dZ,dj friz,Intro: 2 Cool 4 Skool,pop,2013
7v4T4qeHh2Y8Rg7HQWaFSS,Lee Hyori,Miss Korea,pop,2013
0kS6GezxkbM5YXffQFnID6,Lady Gaga,Sexxx Dreams,pop,2013
6Gi3JimL6FXu2lkyTAIRxE,Reik,Con la Cara en Alto,pop,2013
6AviHKu3ydzAePBmzEi62v,MIKA,Popular Song,pop,2013
6AviHKu3ydzAePBmzEi62v,Ariana Grande,Popular Song,pop,2013
0D7eIgjWyydqcFBK4isTW2,INNA,Inndia,pop,2013
5mkU4l5GH4xnEOfhn8ZO4s,INNA,Crazy Sexy Wild,pop,2013
2ZiVvIvwAwNRL4dUO3TaF6,BTS,Outro: Luv in Skool,pop,2013
4VN3BcNEvXSQsremK2JSlK,Bossa Curve,Diamonds,pop,2013
6AczxDV0grtXZZ7h8xI5cS,Lady Gaga,Swine,pop,2013
2I5tTeFL69KZCiO0YYoql7,Lady Gaga,Fashion!,pop,2013
5nAiSK9L3OG1v3HEgZmnoz,Ricardo Arjona,Te Conozco,pop,2013
2JvYDGWN21QQOdtUlRdg7w,Ricardo Arjona,Señora de las Cuatro Décadas,pop,2013
6Mmdzst5fLkrKjhdkGhLpe,Joker Xue,其实,pop,2013
259yc7MqQCyHNrAvBuHu4P,Lil Wayne,Love Me - Album Version (Edited),pop,2013
259yc7MqQCyHNrAvBuHu4P,Drake,Love Me - Album Version (Edited),pop,2013
259yc7MqQCyHNrAvBuHu4P,Future,Love Me - Album Version (Edited),pop,2013
0GiFcmzeGdjY22pJJRQhXr,Andrew Bird,Pulaski at Night,pop,2013
3FdanLGasOj37Xi316GfZ4,BTS,"Intro: O!RUL8,2?",pop,2013
