artist_name,similar_artist_name
Shawn Mendes,"Shawn Mendes, Camila Cabello"
Shawn Mendes,Niall Horan
Shawn Mendes,Shawn Mendes & Camila Cabello
Shawn Mendes,Joshua Bassett
Shawn Mendes,Camila Cabello
Rhodes,Amber Run
Rhodes,Birdy
Rhodes,Andrew Belle
Rhodes,Gavin James
Rhodes,Aquilo
Brian Cross,DJ Nano
Brian Cross,Dani Moreno
Brian Cross,Jose AM
Brian Cross,Wally Lopez
Brian Cross,Geo Da Silva & Saftik
Kike Boy,B.P.M. System
Kike Boy,Sensity World
Kike Boy,Piropo
Kike Boy,New Limit
Kike Boy,ACTV
Jamie Lawson,Newton Faulkner
Jamie Lawson,Gavin James
Jamie Lawson,James Bay
Jamie Lawson,James TW
Jamie Lawson,Stu Larsen
Sarayma,Demarco Flamenco
Sarayma,Indara
Sarayma,Lorena Santos
Sarayma,Shakira Martínez
Sarayma,juanlu montoya
lavi kou,sundots
lavi kou,alex_g_offline
lavi kou,Nafeesisboujee
lavi kou,ivri
lavi kou,lots of hands
Andrés Cepeda,Santiago Cruz
Andrés Cepeda,Fonseca
Andrés Cepeda,Manuel Medrano
Andrés Cepeda,Cabas
Andrés Cepeda,Carlos Vives
Morat,Reik
Morat,TIMØ
Morat,Ha*Ash
Morat,Camila
Morat,Fonseca
Little Mix,Leigh-Anne
Little Mix,Perrie
Little Mix,Fifth Harmony
Little Mix,Jesy Nelson
Little Mix,The Saturdays
Junior Caldera,Antoine Clamaran
Junior Caldera,Sophie Ellis-Bextor
Junior Caldera,Muttonheads
Junior Caldera,Spiller
Junior Caldera,Laurent Wolf
Los Rebujitos,Decai
Los Rebujitos,La Húngara
Los Rebujitos,Sergio Contreras
Los Rebujitos,Nolasco
Los Rebujitos,Sarayma
Lorde,HAIM
Lorde,Addison Rae
Lorde,Caroline Polachek
Lorde,Sky Ferreira
Lorde,Charli xcx
Gregory Porter,Cassandra Wilson
Gregory Porter,Diana Krall
Gregory Porter,Melody Gardot
Gregory Porter,José James
Gregory Porter,Jamie Cullum
Tove Lo,Kim Petras
Tove Lo,Ellie Goulding
Tove Lo,Bebe Rexha
Tove Lo,MØ
Tove Lo,BANKS
Taylor Swift,Sabrina Carpenter
Taylor Swift,Olivia Rodrigo
Taylor Swift,Gracie Abrams
Taylor Swift,Harry Styles
Taylor Swift,Chappell Roan
La Húngara,Los Rebujitos
La Húngara,Decai
La Húngara,Tijeritas
La Húngara,Kiko & Shara
La Húngara,El maki
Anitta,Luísa Sonza
Anitta,PEDRO SAMPAIO
Anitta,Lexa
Anitta,Pabllo Vittar
Anitta,POCAH
Loreen,Dotter
Loreen,Sissal
Loreen,Kaleen
Loreen,Cornelia Jakobs
Loreen,Klara Hammarström
Mino,Winner
Mino,ZICO
Mino,강승윤
Mino,Jay Park
Mino,G-DRAGON
Camila,Reik
Camila,Sin Bandera
Camila,Jesse & Joy
Camila,Ha*Ash
Camila,Chayanne
Mika,Scissor Sisters
Mika,Robbie Williams
Mika,Take That
Mika,Olly Murs
Mika,Sophie Ellis-Bextor
Beyoncé,The Carters
Beyoncé,Destiny's Child
Beyoncé,Chloe x Halle
Beyoncé,Solange
Beyoncé,Chlöe
Stereo Dub,Freedom Dub
Stereo Dub,Anakelly
